powerball-number,frequency,last-drawn
1,Drawn 48 times,Aug 18 2025
2,Drawn 46 times,Aug 11 2025
3,Drawn 49 times,Jul 28 2025
4,Drawn 60 times,Aug 13 2025
5,Drawn 54 times,Sep 10 2025
6,Drawn 46 times,Jun 30 2025
7,Drawn 42 times,Jan 15 2025
8,Drawn 45 times,Jul 30 2025
9,Drawn 55 times,Sep 8 2025
10,Drawn 44 times,Apr 9 2025
11,Drawn 44 times,Jun 18 2025
12,Drawn 40 times,Jun 28 2025
13,Drawn 47 times,May 31 2025
14,Drawn 55 times,Aug 9 2025
15,Drawn 38 times,May 17 2025
16,Drawn 37 times,Nov 16 2024
17,Drawn 41 times,Sep 6 2025
18,Drawn 57 times,Aug 23 2025
19,Drawn 46 times,Sep 13 2025
20,Drawn 52 times,Jul 19 2025
21,Drawn 59 times,Aug 4 2025
22,Drawn 43 times,Sep 3 2025
23,Drawn 41 times,Aug 16 2025
24,Drawn 58 times,Jul 14 2025
25,Drawn 56 times,Aug 27 2025
26,Drawn 47 times,Jan 1 2025
4,Drawn 60 times,Aug 13 2025
21,Drawn 59 times,Aug 4 2025
24,Drawn 58 times,Jul 14 2025
18,Drawn 57 times,Aug 23 2025
25,Drawn 56 times,Aug 27 2025
9,Drawn 55 times,Sep 8 2025
16,Drawn 37 times,Nov 16 2024
15,Drawn 38 times,May 17 2025
12,Drawn 40 times,Jun 28 2025
23,Drawn 41 times,Aug 16 2025
17,Drawn 41 times,Sep 6 2025
7,Drawn 42 times,Jan 15 2025
16,Drawn 37 times,Nov 16 2024
26,Drawn 47 times,Jan 1 2025
7,Drawn 42 times,Jan 15 2025
10,Drawn 44 times,Apr 9 2025
15,Drawn 38 times,May 17 2025
13,Drawn 47 times,May 31 2025
