number,frequency,last-drawn
1,Drawn 71 times,Sep 10 1997
2,Drawn 64 times,Oct 11 1997
3,Drawn 63 times,Aug 30 1997
4,Drawn 61 times,Jul 19 1997
5,Drawn 52 times,Oct 22 1997
6,Drawn 71 times,Oct 29 1997
7,Drawn 61 times,Oct 15 1997
8,Drawn 64 times,Sep 13 1997
9,Drawn 69 times,Oct 22 1997
10,Drawn 68 times,Oct 8 1997
11,Drawn 77 times,Oct 29 1997
12,Drawn 58 times,Sep 24 1997
13,Drawn 61 times,Oct 29 1997
14,Drawn 54 times,Oct 18 1997
15,Drawn 77 times,Oct 25 1997
16,Drawn 64 times,Oct 18 1997
17,Drawn 69 times,Aug 13 1997
18,Drawn 60 times,Oct 1 1997
19,Drawn 64 times,Oct 18 1997
20,Drawn 56 times,Oct 11 1997
21,Drawn 65 times,Oct 18 1997
22,Drawn 70 times,Nov 1 1997
23,Drawn 71 times,Oct 25 1997
24,Drawn 69 times,Oct 25 1997
25,Drawn 67 times,Nov 1 1997
26,Drawn 74 times,Oct 29 1997
27,Drawn 70 times,Aug 9 1997
28,Drawn 72 times,Nov 1 1997
29,Drawn 59 times,Aug 30 1997
30,Drawn 49 times,Jul 30 1997
31,Drawn 66 times,Oct 4 1997
32,Drawn 52 times,Oct 29 1997
33,Drawn 61 times,Nov 1 1997
34,Drawn 64 times,Oct 15 1997
35,Drawn 78 times,Oct 25 1997
36,Drawn 72 times,Oct 1 1997
37,Drawn 47 times,Nov 1 1997
38,Drawn 63 times,Aug 27 1997
39,Drawn 63 times,Sep 24 1997
40,Drawn 58 times,Oct 22 1997
41,Drawn 61 times,Sep 27 1997
42,Drawn 67 times,Oct 11 1997
43,Drawn 61 times,Oct 22 1997
44,Drawn 65 times,Oct 1 1997
45,Drawn 62 times,Sep 13 1997
1,Drawn 30 times,Feb 28 2001
2,Drawn 33 times,Dec 16 2000
3,Drawn 41 times,Feb 28 2001
4,Drawn 44 times,Feb 21 2001
5,Drawn 43 times,Feb 14 2001
